Entity,Year,Unsafe_water_source,Unsafe_sanitation,Household_air_pollution_from_solid_fuels,Child_wasting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Unsafe_sex,High_fasting_plasma_glucose,High_body_mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains
Austria,2013,2.269805345,6.182222865,59.22323807,3.653383337,91.12266953,949.6527982,4782.087886,635.976182,1739.513128,295.6883675,14125.74536,8718.180198,17910.52381,11282.08356,0.474201067,0.523791534,638.6223838,3618.893327,3632.51,3027.99422,3664.083907
Austria,2014,2.372300397,6.365067779,58.52595114,3.651370113,90.58554125,946.8479393,4764.505915,631.7503614,1735.362574,291.3310764,14221.65106,8834.883959,18018.47654,11329.28581,1.027417323,0.517675094,647.5968044,3542.51075,3555.34,3052.063118,3649.268016
Austria,2015,2.504940496,6.655594382,55.92716004,3.745348386,91.88120234,957.931904,4807.123114,636.7963071,1753.212939,288.3211655,14512.16779,9040.502493,18381.46605,11471.19544,0.871324238,0.537114304,663.7075697,3618.287792,3636.4,3113.169055,3712.039237
Austria,2016,2.630016512,6.928477809,55.37205396,3.917728142,92.65917266,942.5004494,4742.100784,630.700862,1726.84493,276.0070144,14422.8886,9061.142079,18295.15255,11394.93409,0.943051609,0.568742179,660.2974802,3476.658526,3492.33,3103.691703,3674.36031
Austria,2017,2.407016198,6.282777685,53.58688229,3.750960722,89.47592712,942.8393307,4745.345794,649.901935,1741.102656,280.2377218,14462.03244,9148.487208,18457.85374,11502.30524,0.700770296,0.522673086,663.7500126,3488.954983,3506.57,3139.779789,3733.262504
Belarus,1990,48.61371403,37.00105934,947.6691854,229.4147425,622.8416616,2664.141377,8397.844611,620.689735,8876.423593,588.7459135,12735.47287,13322.47975,35754.88846,21578.50149,9.31048829,4.842119335,229.553559,9124.445865,8292.96,8208.010212,12329.83736
Belarus,1991,47.08294224,35.37290457,911.927924,208.0296315,581.1150792,2723.892637,9076.876636,673.6219543,9309.289906,619.4428507,13078.59906,14010.82949,37341.48437,22581.56077,9.986427455,4.248010649,245.8934059,9391.099695,8594.56,8516.125708,12908.57532
Belarus,1992,46.51879333,34.50293577,873.037753,190.4138412,545.077849,2798.298175,9962.890722,726.1724543,9777.848929,629.3889494,13377.46413,14786.34636,38893.8195,23686.79966,8.131628983,3.793045996,260.9686193,9653.902598,8894.51,8777.088191,13514.88168
Belarus,1993,46.74892225,34.26813638,896.7248193,177.1633963,514.0230887,3035.059957,11426.1909,818.3037658,10859.0202,674.5366255,14480.47336,16387.61078,42832.31498,26100.44222,7.791554157,3.430020754,287.3446915,10500.68552,9722.98,9413.112139,14975.38437
Belarus,1994,47.06377178,34.12138613,862.7949637,163.5737658,483.9564184,3059.531135,12004.61514,864.2582446,11129.72029,685.1602829,14665.26577,16848.78687,43918.9445,26459.6442,7.553189189,3.16778746,295.531752,10586.52914,9839.74,9407.851171,15341.74093
